file,n,a,recursion calls,time
graf_10_5.txt,10,5,83,0.0388391
graf_10_6b.txt,10,5,76,0.0476822
graf_10_7.txt,10,5,100,0.0330964
graf_15_14.txt,15,5,136,0.040798
graf_20_7.txt,20,7,268,0.0583538
graf_20_7.txt,20,10,1404,0.0513671
graf_20_12.txt,20,10,3068,0.0590673
graf_20_17.txt,20,10,3687,0.0598901
graf_30_10.txt,30,10,2699,0.0627989
graf_30_10.txt,30,15,69245,1.07399
graf_30_20.txt,30,15,102847,1.1142
graf_32_22.txt,32,10,1658,0.0713758
graf_32_25.txt,32,12,8812,0.211281
graf_35_25.txt,35,12,8027,0.221909
graf_35_25.txt,35,17,313911,2.6525
graf_40_8.txt,40,15,38985,1.54672
graf_40_8.txt,40,20,143840,2.80769
graf_40_15.txt,40,15,38448,1.57929
graf_40_15.txt,40,20,137670,2.80487
graf_40_25.txt,40,20,4872425,5.16683
