file,n,a,recursion calls,time
graf_10_5.txt,10,5,199,0.700087
graf_10_6b.txt,10,5,181,0.0399271
graf_10_7.txt,10,5,259,0.042686
graf_15_14.txt,15,5,5636,0.0464536
graf_20_7.txt,20,7,5948,0.0430638
graf_20_7.txt,20,10,9030,0.0709878
graf_20_12.txt,20,10,23281,0.103996
graf_20_17.txt,20,10,61412,0.137302
graf_30_10.txt,30,10,94121,0.203179
graf_30_10.txt,30,15,202464,2.19649
graf_30_20.txt,30,15,3006829,5.59965
graf_32_22.txt,32,10,1007516,0.646947
graf_32_25.txt,32,12,5269356,3.06861
graf_35_25.txt,35,12,12568336,7.02315
graf_35_25.txt,35,17,47029498,33.2186
graf_40_8.txt,40,15,2956604,7.38073
graf_40_8.txt,40,20,5213256,14.561
graf_40_15.txt,40,15,23515327,21.7178
graf_40_15.txt,40,20,100363832,68.5089
graf_40_25.txt,40,20,154865031,98.7472
