filename,partition_size,recursive_calls,time
graf_10_5.txt,5,183,0.000105423
graf_10_6b.txt,5,202,6.5555e-05
graf_10_7.txt,5,277,8.8278e-05
graf_15_14.txt,5,6019,0.00245165
graf_20_7.txt,7,10381,0.00776363
graf_20_7.txt,10,10500,0.00787336
graf_20_12.txt,10,39277,0.0245417
graf_20_17.txt,10,86411,0.0484901
graf_30_10.txt,10,965503,0.888179
graf_30_10.txt,15,733615,0.911922
graf_30_20.txt,15,6653893,6.93886
graf_32_22.txt,10,10752530,5.53075
graf_32_25.txt,12,39466809,20.5361
graf_35_25.txt,12,133293656,73.9693
graf_35_25.txt,17,147857192,109.697
graf_40_8.txt,15,15711139,16.795
graf_40_8.txt,20,15375162,19.2777
graf_40_15.txt,15,308323285,259.537
graf_40_15.txt,20,297291358,312.076
graf_40_25.txt,20,795689275,842.631
